Treino,Média
2012-2013_treino_2.csv_128-1,0.58
2012-2013_treino_3.csv_128-1,0.58
2012-2013_treino_4.csv_128-1,0.59
2012-2013_treino_5.csv_128-1,0.59
2012-2013_treino_6.csv_128-1,0.59
2012-2013_treino_7.csv_128-1,0.58
2012-2013_treino_8.csv_128-1,0.57
2012-2013_treino_9.csv_128-1,0.57
2012-2013_treino_10.csv_128-1,0.58
2012-2013_treino_11.csv_128-1,0.58
2012-2013_treino_12.csv_128-1,0.59
2012-2013_treino_13.csv_128-1,0.58
2012-2013_treino_14.csv_128-1,0.58
2012-2013_treino_15.csv_128-1,0.58
2012-2013_treino_16.csv_128-1,0.58
2012-2013_treino_17.csv_128-1,0.58
2012-2013_treino_18.csv_128-1,0.57
2012-2013_treino_19.csv_128-1,0.57
2012-2013_treino_20.csv_128-1,0.58
2012-2013_treino_21.csv_128-1,0.59
2012-2013_treino_22.csv_128-1,0.59
2012-2013_treino_23.csv_128-1,0.59
2012-2013_treino_24.csv_128-1,0.59
2012-2013_treino_25.csv_128-1,0.59
2012-2013_treino_26.csv_128-1,0.59
2012-2013_treino_27.csv_128-1,0.59
2012-2013_treino_28.csv_128-1,0.59
2012-2013_treino_29.csv_128-1,0.59
2012-2013_treino_30.csv_128-1,0.59
2012-2013_treino_31.csv_128-1,0.59
2012-2013_treino_32.csv_128-1,0.59
2012-2013_treino_33.csv_128-1,0.58
2012-2013_treino_34.csv_128-1,0.59
2012-2013_treino_35.csv_128-1,0.58
2012-2013_treino_36.csv_128-1,0.58
2012-2013_treino_37.csv_128-1,0.58
2012-2013_treino_38.csv_128-1,0.58
2012-2013_treino_39.csv_128-1,0.59
2012-2013_treino_40.csv_128-1,0.58
2012-2013_treino_41.csv_128-1,0.58
2012-2013_treino_42.csv_128-1,0.59
2012-2013_treino_43.csv_128-1,0.59
2012-2013_treino_44.csv_128-1,0.59
2012-2013_treino_45.csv_128-1,0.58
2012-2013_treino_46.csv_128-1,0.58
2012-2013_treino_47.csv_128-1,0.58
2012-2013_treino_48.csv_128-1,0.59
2012-2013_treino_49.csv_128-1,0.59
2012-2013_treino_50.csv_128-1,0.59
2012-2013_treino_51.csv_128-1,0.59
2012-2013_treino_52.csv_128-1,0.60
2012-2013_treino_53.csv_128-1,0.60
2012-2013_treino_54.csv_128-1,0.60
2012-2013_treino_55.csv_128-1,0.61
2012-2013_treino_56.csv_128-1,0.60
2012-2013_treino_57.csv_128-1,0.60
2012-2013_treino_58.csv_128-1,0.59
2012-2013_treino_59.csv_128-1,0.59
2012-2013_treino_60.csv_128-1,0.59
2012-2013_treino_61.csv_128-1,0.59
2012-2013_treino_62.csv_128-1,0.59
2012-2013_treino_63.csv_128-1,0.58
2012-2013_treino_64.csv_128-1,0.57
2012-2013_treino_65.csv_128-1,0.58
2012-2013_treino_66.csv_128-1,0.57
2012-2013_treino_67.csv_128-1,0.56
2012-2013_treino_68.csv_128-1,0.56
2012-2013_treino_69.csv_128-1,0.55
2012-2013_treino_70.csv_128-1,0.55
2012-2013_treino_71.csv_128-1,0.55
2012-2013_treino_72.csv_128-1,0.55
2012-2013_treino_73.csv_128-1,0.55
2012-2013_treino_74.csv_128-1,0.55
